city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Barra do Guarita,4301859,131,4022.10623,2022-03-24,0.0611,8,3257.0,3248.0,True,566,city,RS
Barra do Quaraí,4301875,914,21622.9004,2022-03-24,0.0098,9,4227.0,4215.0,True,547,city,RS
Barra do Ribeiro,4301909,1724,12717.61582,2022-03-24,0.0331,57,13556.0,13491.0,True,616,city,RS
Barra do Rio Azul,4301925,207,12507.55287,2022-03-24,0.0048,1,1655.0,1690.0,True,569,city,RS
Barra Funda,4301958,945,37044.29635,2022-03-24,0.0148,14,2551.0,2539.0,True,579,city,RS
Barros Cassal,4302006,1478,13217.67126,2022-03-24,0.0101,15,11182.0,11199.0,True,627,city,RS
Benjamin Constant do Sul,4302055,203,10367.72217,2022-03-24,0.0148,3,1958.0,1994.0,True,609,city,RS
Bento Gonçalves,4302105,35052,28777.61631,2022-03-24,0.0127,446,121803.0,120454.0,True,670,city,RS
Boa Vista das Missões,4302154,388,18546.84512,2022-03-24,0.018,7,2092.0,2098.0,True,609,city,RS
Boa Vista do Buricá,4302204,1637,24389.15375,2022-03-24,0.0079,13,6712.0,6712.0,True,543,city,RS
Boa Vista do Cadeado,4302220,361,14627.22853,2022-03-24,0.0139,5,2468.0,2470.0,True,549,city,RS
Boa Vista do Incra,4302238,639,24426.6055,2022-03-24,0.0078,5,2616.0,2603.0,True,553,city,RS
Boa Vista do Sul,4302253,543,19546.43629,2022-03-24,0.0092,5,2778.0,2783.0,True,629,city,RS
Bom Jesus,4302303,1725,15253.33805,2022-03-24,0.0151,26,11309.0,11349.0,True,620,city,RS
Bom Princípio,4302352,3432,24075.76289,2022-03-24,0.0099,34,14255.0,14055.0,True,623,city,RS
Bom Progresso,4302378,306,16113.74408,2022-03-24,0.0098,3,1899.0,1942.0,True,609,city,RS
Bom Retiro do Sul,4302402,2012,16238.90234,2022-03-24,0.0199,40,12390.0,12328.0,True,650,city,RS
Boqueirão do Leão,4302451,708,9192.41755,2022-03-24,0.0494,35,7702.0,7714.0,True,566,city,RS
Bossoroca,4302501,600,9669.62127,2022-03-24,0.0367,22,6205.0,6279.0,True,597,city,RS
Bozano,4302584,511,24206.53719,2022-03-24,0.0157,8,2111.0,2123.0,True,546,city,RS
Braga,4302600,682,20598.00664,2022-03-24,0.0147,10,3311.0,3353.0,True,606,city,RS
Brochier,4302659,1071,20983.54232,2022-03-24,0.0065,7,5104.0,5074.0,True,614,city,RS
Butiá,4302709,3026,14442.53532,2022-03-24,0.0212,64,20952.0,20941.0,True,619,city,RS
Caçapava do Sul,4302808,6597,19664.36151,2022-03-24,0.0155,102,33548.0,33624.0,True,624,city,RS
Cacequi,4302907,1387,11164.77501,2022-03-24,0.0115,16,12423.0,12561.0,True,577,city,RS
Cachoeira do Sul,4303004,17288,21116.66198,2022-03-24,0.0134,232,81869.0,82201.0,True,663,city,RS
Cachoeirinha,4303103,19891,15156.20238,2022-03-24,0.0266,529,131240.0,130293.0,True,659,city,RS
Cacique Doble,4303202,1142,22506.89791,2022-03-24,0.0123,14,5074.0,5065.0,True,601,city,RS
Caibaté,4303301,522,10823.13913,2022-03-24,0.0153,8,4823.0,4846.0,True,614,city,RS
Caiçara,4303400,1046,22255.31915,2022-03-24,0.0115,12,4700.0,4743.0,True,578,city,RS
Camaquã,4303509,8992,13526.27937,2022-03-24,0.0202,182,66478.0,66261.0,True,666,city,RS
Camargo,4303558,661,24106.49161,2022-03-24,0.0121,8,2742.0,2733.0,True,614,city,RS
Cambará do Sul,4303608,408,6369.02904,2022-03-24,0.0294,12,6406.0,6431.0,True,593,city,RS
Campestre da Serra,4303673,500,14727.5405,2022-03-24,0.008,4,3395.0,3388.0,True,635,city,RS
Campina das Missões,4303707,1183,21915.52427,2022-03-24,0.0093,11,5398.0,5474.0,True,566,city,RS
Campinas do Sul,4303806,1345,24733.35785,2022-03-24,0.0052,7,5438.0,5454.0,True,637,city,RS
Campo Bom,4303905,16918,24357.16548,2022-03-24,0.0166,280,69458.0,66712.0,True,677,city,RS
Campo Novo,4304002,1221,27902.19378,2022-03-24,0.0188,23,4376.0,4484.0,True,607,city,RS
Campos Borges,4304101,886,26889.2261,2022-03-24,0.0147,13,3295.0,3320.0,True,558,city,RS
Candelária,4304200,5607,17844.75351,2022-03-24,0.0155,87,31421.0,31365.0,True,644,city,RS
Cândido Godói,4304309,1169,19005.03983,2022-03-24,0.0043,5,6151.0,6198.0,True,579,city,RS
Candiota,4304358,2433,25220.27573,2022-03-24,0.0074,18,9647.0,9584.0,True,632,city,RS
Canela,4304408,10200,22423.49631,2022-03-24,0.0202,206,45488.0,44998.0,True,605,city,RS
Canguçu,4304507,8123,14450.90819,2022-03-24,0.015,122,56211.0,56045.0,True,662,city,RS
Canoas,4304606,66955,19228.44966,2022-03-24,0.0267,1790,348208.0,346616.0,True,669,city,RS
Canudos do Vale,4304614,238,13958.94428,2022-03-24,0.0252,6,1705.0,1716.0,True,627,city,RS
Capão Bonito do Sul,4304622,528,32175.50274,2022-03-24,0.0114,6,1641.0,1654.0,True,545,city,RS
Capão da Canoa,4304630,16117,29818.13472,2022-03-24,0.0151,244,54051.0,53049.0,True,667,city,RS
Capão do Cipó,4304655,563,15220.32982,2022-03-24,0.0107,6,3699.0,3651.0,True,582,city,RS
Capão do Leão,4304663,4862,19134.95218,2022-03-24,0.0191,93,25409.0,25354.0,True,659,city,RS
Capela de Santana,4304689,2007,16636.27321,2022-03-24,0.0159,32,12064.0,11940.0,True,600,city,RS
Capitão,4304697,688,24900.4705,2022-03-24,0.0044,3,2763.0,2757.0,True,618,city,RS
Capivari do Sul,4304671,1453,30731.81049,2022-03-24,0.0062,9,4728.0,4660.0,True,560,city,RS
Caraá,4304713,1269,15197.60479,2022-03-24,0.0221,28,8350.0,8270.0,True,592,city,RS
Carazinho,4304705,16918,27170.96282,2022-03-24,0.0174,294,62265.0,62110.0,True,640,city,RS
Carlos Barbosa,4304804,7233,23917.85986,2022-03-24,0.0084,61,30241.0,29833.0,True,669,city,RS
Carlos Gomes,4304853,197,14581.79127,2022-03-24,0.0051,1,1351.0,1377.0,True,555,city,RS
Casca,4304903,1911,21113.6891,2022-03-24,0.0115,22,9051.0,9031.0,True,614,city,RS
Caseiros,4304952,453,14085.8209,2022-03-24,0.0331,15,3216.0,3202.0,True,621,city,RS
Catuípe,4305009,1646,18917.36582,2022-03-24,0.02,33,8701.0,8774.0,True,583,city,RS
Caxias do Sul,4305108,125208,24197.07373,2022-03-24,0.0123,1537,517451.0,510906.0,True,675,city,RS
Centenário,4305116,326,11331.24783,2022-03-24,0.0123,4,2877.0,2891.0,True,590,city,RS
Cerrito,4305124,797,13180.0893,2022-03-24,0.0176,14,6047.0,6091.0,True,583,city,RS
Cerro Branco,4305132,570,12112.1972,2022-03-24,0.0123,7,4706.0,4691.0,True,544,city,RS
