city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Cacimbinhas,2701209,1020,9367.25135,2022-03-10,0.0118,12,10889.0,10858.0,True,656,city,AL
Cajueiro,2701308,827,3876.98655,2022-03-10,0.0399,33,21331.0,21264.0,True,655,city,AL
Campestre,2701357,287,4127.12108,2022-03-10,0.0209,6,6954.0,6936.0,True,658,city,AL
Campo Alegre,2701407,3202,5565.11462,2022-03-10,0.0262,84,57537.0,57063.0,True,664,city,AL
Campo Grande,2701506,622,6501.51563,2022-03-10,0.0177,11,9567.0,9558.0,True,659,city,AL
Canapi,2701605,677,3820.75738,2022-03-10,0.0192,13,17719.0,17722.0,True,657,city,AL
Capela,2701704,1322,7786.0887,2022-03-10,0.0151,20,16979.0,17053.0,True,674,city,AL
Carneiros,2701803,443,4836.77257,2022-03-10,0.0248,11,9159.0,9081.0,True,650,city,AL
Chã Preta,2701902,449,6141.43072,2022-03-10,0.0245,11,7311.0,7311.0,True,638,city,AL
Coité do Nóia,2702009,629,5909.98779,2022-03-10,0.035,22,10643.0,10693.0,True,658,city,AL
Colônia Leopoldina,2702108,479,2195.43496,2022-03-10,0.0438,21,21818.0,21698.0,True,664,city,AL
Coqueiro Seco,2702207,575,9805.59345,2022-03-10,0.0157,9,5864.0,5845.0,True,663,city,AL
Coruripe,2702306,5280,9215.62467,2022-03-10,0.0116,61,57294.0,56933.0,True,666,city,AL
Craíbas,2702355,1436,5907.27714,2022-03-10,0.023,33,24309.0,24219.0,True,656,city,AL
Delmiro Gouveia,2702405,5522,10565.99441,2022-03-10,0.0261,144,52262.0,52016.0,True,671,city,AL
Dois Riachos,2702504,784,7084.12397,2022-03-10,0.0102,8,11067.0,11075.0,True,649,city,AL
Estrela de Alagoas,2702553,768,4207.06656,2022-03-10,0.0247,19,18255.0,18205.0,True,642,city,AL
Feira Grande,2702603,879,3963.38714,2022-03-10,0.025,22,22178.0,22166.0,True,649,city,AL
Feliz Deserto,2702702,176,3682.77882,2022-03-10,0.0284,5,4779.0,4754.0,True,645,city,AL
Flexeiras,2702801,799,6238.77567,2022-03-10,0.025,20,12807.0,12790.0,True,657,city,AL
Girau do Ponciano,2702900,2096,5082.81398,2022-03-10,0.0248,52,41237.0,40917.0,True,645,city,AL
Ibateguara,2703007,954,6104.81858,2022-03-10,0.022,21,15627.0,15616.0,True,676,city,AL
Igaci,2703106,2080,8120.87612,2022-03-10,0.0159,33,25613.0,25631.0,True,654,city,AL
Igreja Nova,2703205,2013,8187.58643,2022-03-10,0.0109,22,24586.0,24499.0,True,642,city,AL
Importados/Indefinidos,,0,,2022-03-10,0.0,0,,,True,697,city,AL
Inhapi,2703304,735,3996.30274,2022-03-10,0.0231,17,18392.0,18385.0,True,658,city,AL
Jacaré dos Homens,2703403,550,10538.41732,2022-03-10,0.0091,5,5219.0,5253.0,True,642,city,AL
Jacuípe,2703502,317,4524.69312,2022-03-10,0.0126,4,7006.0,7021.0,True,649,city,AL
Japaratinga,2703601,628,7473.52136,2022-03-10,0.0255,16,8403.0,8361.0,True,655,city,AL
Jaramataia,2703700,218,3784.06527,2022-03-10,0.0183,4,5761.0,5770.0,True,663,city,AL
Jequiá da Praia,2703759,789,6839.45908,2022-03-10,0.0165,13,11536.0,11580.0,True,663,city,AL
Joaquim Gomes,2703809,795,3301.35792,2022-03-10,0.034,27,24081.0,23993.0,True,664,city,AL
Jundiá,2703908,194,4689.38845,2022-03-10,0.0258,5,4137.0,4155.0,True,652,city,AL
Junqueiro,2704005,1236,4999.5955,2022-03-10,0.0405,50,24722.0,24727.0,True,666,city,AL
Lagoa da Canoa,2704104,1755,9875.64009,2022-03-10,0.0142,25,17771.0,17852.0,True,666,city,AL
Limoeiro de Anadia,2704203,1794,6235.44541,2022-03-10,0.0195,35,28771.0,28635.0,True,672,city,AL
Maceió,2704302,114279,11145.2563,2022-03-10,0.0263,3006,1025360.0,1018948.0,True,715,city,AL
Major Isidoro,2704401,1169,5885.01812,2022-03-10,0.0205,24,19864.0,19804.0,True,656,city,AL
Maragogi,2704500,2319,7020.465,2022-03-10,0.022,51,33032.0,32704.0,True,671,city,AL
Maravilha,2704609,482,5353.17637,2022-03-10,0.0373,18,9004.0,9163.0,True,654,city,AL
Marechal Deodoro,2704708,8102,15467.73578,2022-03-10,0.0154,125,52380.0,51901.0,True,692,city,AL
Maribondo,2704807,714,5411.96089,2022-03-10,0.0252,18,13193.0,13264.0,True,674,city,AL
Mar Vermelho,2704906,175,5008.58615,2022-03-10,0.0229,4,3494.0,3514.0,True,649,city,AL
Mata Grande,2705002,809,3209.42595,2022-03-10,0.0321,26,25207.0,25216.0,True,644,city,AL
Matriz de Camaragibe,2705101,1675,6799.54534,2022-03-10,0.0269,45,24634.0,24642.0,True,669,city,AL
Messias,2705200,1789,9921.80134,2022-03-10,0.0162,29,18031.0,17856.0,True,661,city,AL
Minador do Negrão,2705309,359,6745.58437,2022-03-10,0.0279,10,5322.0,5329.0,True,643,city,AL
Monteirópolis,2705408,292,4075.36636,2022-03-10,0.0479,14,7165.0,7159.0,True,651,city,AL
Murici,2705507,1191,4203.57887,2022-03-10,0.0428,51,28333.0,28236.0,True,676,city,AL
Novo Lino,2705606,368,2883.10874,2022-03-10,0.0353,13,12764.0,12690.0,True,665,city,AL
Olho d'Água das Flores,2705705,1903,8754.25522,2022-03-10,0.0221,42,21738.0,21688.0,True,670,city,AL
Olho d'Água do Casado,2705804,200,2118.41966,2022-03-10,0.03,6,9441.0,9373.0,True,646,city,AL
Olho d'Água Grande,2705903,243,4738.68955,2022-03-10,0.037,9,5128.0,5123.0,True,642,city,AL
Olivença,2706000,559,4795.4019,2022-03-10,0.0304,17,11657.0,11624.0,True,656,city,AL
Ouro Branco,2706109,854,7403.5544,2022-03-10,0.0129,11,11535.0,11496.0,True,643,city,AL
Palestina,2706208,537,10661.1078,2022-03-10,0.0074,4,5037.0,5011.0,True,667,city,AL
Palmeira dos Índios,2706307,6518,8887.73743,2022-03-10,0.0259,169,73337.0,73218.0,True,689,city,AL
Pão de Açúcar,2706406,1349,5539.81356,2022-03-10,0.023,31,24351.0,24399.0,True,647,city,AL
Pariconha,2706422,966,9165.95502,2022-03-10,0.0104,10,10539.0,10533.0,True,636,city,AL
Paripueira,2706448,517,3877.88779,2022-03-10,0.0542,28,13332.0,13176.0,True,672,city,AL
Passo de Camaragibe,2706505,918,6016.51593,2022-03-10,0.0251,23,15258.0,15245.0,True,655,city,AL
Paulo Jacinto,2706604,524,6931.21693,2022-03-10,0.0305,16,7560.0,7564.0,True,666,city,AL
Penedo,2706703,4871,7629.29549,2022-03-10,0.0185,90,63846.0,63683.0,True,667,city,AL
Piaçabuçu,2706802,1106,6196.77275,2022-03-10,0.0208,23,17848.0,17827.0,True,671,city,AL
Pilar,2706901,4813,13668.63569,2022-03-10,0.0129,62,35212.0,35111.0,True,675,city,AL
Pindoba,2707008,231,7951.80723,2022-03-10,0.0087,2,2905.0,2908.0,True,656,city,AL
Piranhas,2707107,1672,6639.39959,2022-03-10,0.0161,27,25183.0,25039.0,True,649,city,AL
Poço das Trincheiras,2707206,672,4660.84062,2022-03-10,0.0179,12,14418.0,14386.0,True,656,city,AL
Porto Calvo,2707305,1262,4631.36262,2022-03-10,0.0388,49,27249.0,27165.0,True,670,city,AL
Porto de Pedras,2707404,561,7284.76821,2022-03-10,0.0267,15,7701.0,7786.0,True,650,city,AL
Porto Real do Colégio,2707503,652,3241.84566,2022-03-10,0.0322,21,20112.0,20066.0,True,701,city,AL
Quebrangulo,2707602,1348,11984.35277,2022-03-10,0.0111,15,11248.0,11294.0,True,656,city,AL
Rio Largo,2707701,4513,5985.88747,2022-03-10,0.041,185,75394.0,75120.0,True,680,city,AL
Roteiro,2707800,450,6767.93503,2022-03-10,0.0311,14,6649.0,6664.0,True,649,city,AL
Santa Luzia do Norte,2707909,748,10218.57923,2022-03-10,0.012,9,7320.0,7296.0,True,671,city,AL
Santana do Ipanema,2708006,5916,12371.65144,2022-03-10,0.0184,109,47819.0,47654.0,True,664,city,AL
Santana do Mundaú,2708105,910,8515.01825,2022-03-10,0.0209,19,10687.0,10740.0,True,643,city,AL
São Brás,2708204,486,6973.74085,2022-03-10,0.0082,4,6969.0,6961.0,True,642,city,AL
São José da Laje,2708303,1350,5625.93766,2022-03-10,0.0237,32,23996.0,23927.0,True,659,city,AL
São José da Tapera,2708402,1448,4468.44623,2022-03-10,0.0297,43,32405.0,32260.0,True,651,city,AL
São Luís do Quitunde,2708501,1596,4600.48426,2022-03-10,0.0169,27,34692.0,34555.0,True,657,city,AL
São Miguel dos Campos,2708600,5221,8448.63019,2022-03-10,0.0205,107,61797.0,61251.0,True,671,city,AL
São Miguel dos Milagres,2708709,377,4704.85461,2022-03-10,0.0424,16,8013.0,7951.0,True,677,city,AL
São Sebastião,2708808,2075,6051.32692,2022-03-10,0.0188,39,34290.0,34152.0,True,670,city,AL
Satuba,2708907,1449,10397.53157,2022-03-10,0.0276,40,13936.0,13828.0,True,681,city,AL
Senador Rui Palmeira,2708956,427,3067.30838,2022-03-10,0.0304,13,13921.0,13870.0,True,646,city,AL
Tanque d'Arca,2709004,479,7803.8449,2022-03-10,0.0251,12,6138.0,6162.0,True,650,city,AL
Taquarana,2709103,902,4493.82224,2022-03-10,0.0299,27,20072.0,19980.0,True,665,city,AL
Teotônio Vilela,2709152,2853,6429.73046,2022-03-10,0.0252,72,44372.0,44169.0,True,663,city,AL
Traipu,2709202,774,2781.57119,2022-03-10,0.0349,27,27826.0,27715.0,True,642,city,AL
União dos Palmares,2709301,3801,5777.47378,2022-03-10,0.0263,100,65790.0,65611.0,True,679,city,AL
Viçosa,2709400,2453,9547.34753,2022-03-10,0.0167,41,25693.0,25733.0,True,677,city,AL
Abaetetuba,1500107,10564,6640.68393,2022-03-10,0.0222,235,159080.0,157698.0,True,607,city,PA
Abel Figueiredo,1500131,1308,17472.61555,2022-03-10,0.0092,12,7486.0,7434.0,True,570,city,PA
Acará,1500206,2174,3905.22553,2022-03-10,0.0189,41,55669.0,55591.0,True,596,city,PA
Afuá,1500305,3490,8820.48171,2022-03-10,0.0046,16,39567.0,39218.0,True,590,city,PA
Água Azul do Norte,1500347,1563,5659.96741,2022-03-10,0.0115,18,27615.0,27430.0,True,577,city,PA
Alenquer,1500404,4739,8300.63757,2022-03-10,0.0333,158,57092.0,56789.0,True,584,city,PA
Almeirim,1500503,4385,12868.2944,2022-03-10,0.0123,54,34076.0,34109.0,True,582,city,PA
Altamira,1500602,20962,18075.52018,2022-03-10,0.0166,349,115969.0,114594.0,True,604,city,PA
Anajás,1500701,1385,4665.18459,2022-03-10,0.0159,22,29688.0,29277.0,True,584,city,PA
Ananindeua,1500800,29378,5485.60631,2022-03-10,0.0289,849,535547.0,530598.0,True,613,city,PA
Anapu,1500859,2156,7536.61691,2022-03-10,0.0306,66,28607.0,27890.0,True,583,city,PA
Augusto Corrêa,1500909,2526,5435.64804,2022-03-10,0.021,53,46471.0,45998.0,True,587,city,PA
Aurora do Pará,1500958,1926,6061.75054,2022-03-10,0.0088,17,31773.0,31338.0,True,583,city,PA
Aveiro,1501006,1052,6413.06998,2022-03-10,0.0152,16,16404.0,16388.0,True,552,city,PA
Bagre,1501105,1324,4226.65603,2022-03-10,0.0098,13,31325.0,30673.0,True,581,city,PA
Baião,1501204,935,1929.46615,2022-03-10,0.0417,39,48459.0,47446.0,True,578,city,PA
Bannach,1501253,656,20110.36174,2022-03-10,0.0046,3,3262.0,3286.0,True,577,city,PA
Barcarena,1501303,12785,10064.78938,2022-03-10,0.0196,250,127027.0,124680.0,True,606,city,PA
Belém,1501402,131343,8758.29615,2022-03-10,0.0402,5282,1499641.0,1492745.0,True,620,city,PA
Belterra,1501451,2822,15819.27238,2022-03-10,0.0159,45,17839.0,17732.0,True,575,city,PA
Benevides,1501501,6246,9794.88145,2022-03-10,0.0179,112,63768.0,62737.0,True,604,city,PA
Bom Jesus do Tocantins,1501576,1216,7103.6336,2022-03-10,0.0238,29,17118.0,16981.0,True,581,city,PA
Bonito,1501600,514,3109.49788,2022-03-10,0.0311,16,16530.0,16286.0,True,580,city,PA
Bragança,1501709,6905,5356.28403,2022-03-10,0.0259,179,128914.0,127686.0,True,593,city,PA
Brasil Novo,1501725,4100,27364.34626,2022-03-10,0.0107,44,14983.0,15086.0,True,567,city,PA
Brejo Grande do Araguaia,1501758,1128,15309.44625,2022-03-10,0.0053,6,7368.0,7380.0,True,559,city,PA
Breu Branco,1501782,1374,2040.63447,2022-03-10,0.0524,72,67332.0,66046.0,True,575,city,PA
Breves,1501808,4895,4729.60569,2022-03-10,0.0255,125,103497.0,102701.0,True,587,city,PA
Bujaru,1501907,1886,6409.0801,2022-03-10,0.0228,43,29427.0,29132.0,True,596,city,PA
Cachoeira do Arari,1502004,621,2580.61835,2022-03-10,0.0403,25,24064.0,23767.0,True,592,city,PA
Cachoeira do Piriá,1501956,1573,4545.06053,2022-03-10,0.007,11,34609.0,33900.0,True,575,city,PA
Cametá,1502103,10530,7555.75328,2022-03-10,0.0291,306,139364.0,137890.0,True,601,city,PA
Canaã dos Carajás,1502152,10852,28480.69706,2022-03-10,0.0127,138,38103.0,37085.0,True,593,city,PA
Capanema,1502202,6297,9069.43584,2022-03-10,0.0206,130,69431.0,69027.0,True,594,city,PA
Capitão Poço,1502301,3124,5740.00919,2022-03-10,0.0294,92,54425.0,54303.0,True,592,city,PA
Castanhal,1502400,14144,6958.88335,2022-03-10,0.0353,499,203251.0,200793.0,True,612,city,PA
Chaves,1502509,858,3582.76265,2022-03-10,0.007,6,23948.0,23717.0,True,574,city,PA
Colares,1502608,930,7666.30946,2022-03-10,0.0237,22,12131.0,12085.0,True,587,city,PA
Conceição do Araguaia,1502707,6460,13460.85724,2022-03-10,0.0091,59,47991.0,47864.0,True,594,city,PA
Concórdia do Pará,1502756,3166,9372.13226,2022-03-10,0.0111,35,33781.0,33318.0,True,584,city,PA
Cumaru do Norte,1502764,1202,8734.83032,2022-03-10,0.01,12,13761.0,13473.0,True,558,city,PA
Curionópolis,1502772,2608,14613.91909,2022-03-10,0.015,39,17846.0,17929.0,True,585,city,PA
Curralinho,1502806,579,1654.56935,2022-03-10,0.0622,36,34994.0,34448.0,True,592,city,PA
Curuá,1502855,2349,16103.37972,2022-03-10,0.0106,25,14587.0,14393.0,True,569,city,PA
Curuçá,1502905,2588,6376.8973,2022-03-10,0.0325,84,40584.0,40066.0,True,585,city,PA
Dom Eliseu,1502939,2709,4479.98148,2022-03-10,0.0247,67,60469.0,59719.0,True,578,city,PA
Eldorado do Carajás,1502954,1113,3279.31644,2022-03-10,0.0314,35,33940.0,33808.0,True,575,city,PA
Faro,1503002,1397,19759.54738,2022-03-10,0.0215,30,7070.0,7194.0,True,569,city,PA
Floresta do Araguaia,1503044,1943,9466.50426,2022-03-10,0.0149,29,20525.0,20304.0,True,566,city,PA
Garrafão do Norte,1503077,1744,6679.17736,2022-03-10,0.0063,11,26111.0,26066.0,True,585,city,PA
Goianésia do Pará,1503093,2913,7090.86926,2022-03-10,0.0124,36,41081.0,40475.0,True,604,city,PA
Gurupá,1503101,2632,7797.36335,2022-03-10,0.0053,14,33755.0,33376.0,True,568,city,PA
Igarapé-Açu,1503200,3191,8177.22881,2022-03-10,0.0251,80,39023.0,38807.0,True,588,city,PA
Igarapé-Miri,1503309,3863,6128.24418,2022-03-10,0.0256,99,63036.0,62698.0,True,581,city,PA
Importados/Indefinidos,,0,,2022-03-10,0.0,0,,,True,587,city,PA
Inhangapi,1503408,611,5151.33631,2022-03-10,0.0278,17,11861.0,11711.0,True,586,city,PA
Ipixuna do Pará,1503457,2877,4384.0,2022-03-10,0.0163,47,65625.0,64053.0,True,578,city,PA
Irituia,1503507,2224,6823.13238,2022-03-10,0.0099,22,32595.0,32550.0,True,581,city,PA
Itaituba,1503606,14346,14148.62666,2022-03-10,0.0268,384,101395.0,101247.0,True,612,city,PA
Itupiranga,1503705,2419,4533.78315,2022-03-10,0.0372,90,53355.0,53269.0,True,568,city,PA
Jacareacanga,1503754,3319,43728.59025,2022-03-10,0.0121,40,7590.0,8239.0,True,569,city,PA
Jacundá,1503804,2736,4572.0397,2022-03-10,0.0296,81,59842.0,59155.0,True,578,city,PA
Juruti,1503903,5689,9648.91452,2022-03-10,0.0313,178,58960.0,57943.0,True,592,city,PA
Limoeiro do Ajuru,1504000,1963,6703.77706,2022-03-10,0.0341,67,29282.0,28935.0,True,583,city,PA
Mãe do Rio,1504059,2116,6998.51166,2022-03-10,0.0383,81,30235.0,30077.0,True,587,city,PA
Magalhães Barata,1504109,490,5715.6188,2022-03-10,0.0347,17,8573.0,8548.0,True,572,city,PA
Marabá,1504208,21053,7425.00229,2022-03-10,0.0256,539,283542.0,279349.0,True,615,city,PA
Maracanã,1504307,769,2605.36658,2022-03-10,0.0637,49,29516.0,29473.0,True,578,city,PA
Marapanim,1504406,1056,3711.77504,2022-03-10,0.0426,45,28450.0,28336.0,True,592,city,PA
Marituba,1504422,4430,3313.75996,2022-03-10,0.033,146,133685.0,131521.0,True,607,city,PA
Medicilândia,1504455,4859,15196.24707,2022-03-10,0.013,63,31975.0,31597.0,True,572,city,PA
Melgaço,1504505,595,2133.38114,2022-03-10,0.0286,17,27890.0,27654.0,True,580,city,PA
Mocajuba,1504604,3697,11725.34095,2022-03-10,0.0176,65,31530.0,31136.0,True,581,city,PA
Moju,1504703,2666,3205.02032,2022-03-10,0.0263,70,83182.0,82094.0,True,578,city,PA
Mojuí dos Campos,1504752,1946,12024.22145,2022-03-10,0.0175,34,16184.0,16084.0,True,565,city,PA
Monte Alegre,1504802,8427,14488.84151,2022-03-10,0.025,211,58162.0,58032.0,True,592,city,PA
Muaná,1504901,1147,2803.98963,2022-03-10,0.034,39,40906.0,40349.0,True,592,city,PA
Nova Esperança do Piriá,1504950,1789,8342.65995,2022-03-10,0.005,9,21444.0,21368.0,True,581,city,PA
Nova Ipixuna,1504976,1592,9445.82888,2022-03-10,0.017,27,16854.0,16678.0,True,593,city,PA
Nova Timboteua,1505007,1161,7487.42422,2022-03-10,0.0164,19,15506.0,15363.0,True,583,city,PA
Novo Progresso,1505031,3789,14705.42575,2022-03-10,0.0216,82,25766.0,25762.0,True,604,city,PA
Novo Repartimento,1505064,2908,3766.1564,2022-03-10,0.0406,118,77214.0,75919.0,True,570,city,PA
Óbidos,1505106,8123,15529.76714,2022-03-10,0.0198,161,52306.0,52137.0,True,593,city,PA
Oeiras do Pará,1505205,2321,7065.44901,2022-03-10,0.022,51,32850.0,32512.0,True,604,city,PA
Oriximiná,1505304,10572,14283.39818,2022-03-10,0.0183,193,74016.0,73096.0,True,587,city,PA
Ourém,1505403,419,2332.83225,2022-03-10,0.0382,16,17961.0,17842.0,True,587,city,PA
Ourilândia do Norte,1505437,6804,20410.97945,2022-03-10,0.0096,65,33335.0,32832.0,True,577,city,PA
Pacajá,1505486,2728,5634.73375,2022-03-10,0.0205,56,48414.0,47706.0,True,586,city,PA
Palestina do Pará,1505494,889,11725.13849,2022-03-10,0.0124,11,7582.0,7589.0,True,562,city,PA
Paragominas,1505502,12733,11120.23266,2022-03-10,0.0194,247,114503.0,113145.0,True,583,city,PA
Parauapebas,1505536,59471,27845.35716,2022-03-10,0.0088,524,213576.0,208273.0,True,610,city,PA
Pau D'Arco,1505551,750,13863.21627,2022-03-10,0.016,12,5410.0,5483.0,True,573,city,PA
Peixe-Boi,1505601,352,4355.89655,2022-03-10,0.0114,4,8081.0,8077.0,True,577,city,PA
Piçarra,1505635,1066,8213.26759,2022-03-10,0.0084,9,12979.0,12981.0,True,559,city,PA
Placas,1505650,2566,8105.12019,2022-03-10,0.0171,44,31659.0,30982.0,True,543,city,PA
Ponta de Pedras,1505700,3440,10903.67365,2022-03-10,0.011,38,31549.0,31082.0,True,583,city,PA
Portel,1505809,3530,5608.07054,2022-03-10,0.0272,96,62945.0,62043.0,True,572,city,PA
Porto de Moz,1505908,1700,4066.88835,2022-03-10,0.0276,47,41801.0,41135.0,True,583,city,PA
Prainha,1506005,2399,8037.92803,2022-03-10,0.0371,89,29846.0,29866.0,True,577,city,PA
Primavera,1506104,1168,10758.03629,2022-03-10,0.0197,23,10857.0,10825.0,True,591,city,PA
Quatipuru,1506112,1002,7312.80105,2022-03-10,0.019,19,13702.0,13608.0,True,596,city,PA
Redenção,1506138,20188,23594.31062,2022-03-10,0.0144,290,85563.0,84787.0,True,585,city,PA
Rio Maria,1506161,3241,17806.71392,2022-03-10,0.013,42,18201.0,18193.0,True,575,city,PA
Rondon do Pará,1506187,2712,5136.07181,2022-03-10,0.0336,91,52803.0,52357.0,True,593,city,PA
Rurópolis,1506195,5313,10316.50485,2022-03-10,0.0156,83,51500.0,50510.0,True,563,city,PA
Salinópolis,1506203,1441,3521.33327,2022-03-10,0.0729,105,40922.0,40675.0,True,594,city,PA
Salvaterra,1506302,1844,7659.39772,2022-03-10,0.0174,32,24075.0,23752.0,True,588,city,PA
Santa Bárbara do Pará,1506351,1297,6046.90195,2022-03-10,0.0224,29,21449.0,21079.0,True,593,city,PA
Santa Cruz do Arari,1506401,233,2259.06535,2022-03-10,0.0472,11,10314.0,10128.0,True,588,city,PA
Santa Izabel do Pará,1506500,3341,4650.80669,2022-03-10,0.0305,102,71837.0,70801.0,True,587,city,PA
Santa Luzia do Pará,1506559,1694,8537.01557,2022-03-10,0.0153,26,19843.0,19848.0,True,575,city,PA
Santa Maria das Barreiras,1506583,983,4498.85584,2022-03-10,0.0132,13,21850.0,21449.0,True,556,city,PA
Santa Maria do Pará,1506609,1802,7209.44189,2022-03-10,0.0161,29,24995.0,24861.0,True,586,city,PA
Santana do Araguaia,1506708,3770,5065.91059,2022-03-10,0.0114,43,74419.0,72817.0,True,569,city,PA
Santarém,1506807,28037,9148.06839,2022-03-10,0.0389,1091,306480.0,304589.0,True,606,city,PA
Santarém Novo,1506906,758,11224.6409,2022-03-10,0.0106,8,6753.0,6709.0,True,576,city,PA
Santo Antônio do Tauá,1507003,2582,8089.47929,2022-03-10,0.0229,59,31918.0,31482.0,True,600,city,PA
São Caetano de Odivelas,1507102,1327,7319.76391,2022-03-10,0.0264,35,18129.0,18050.0,True,585,city,PA
São Domingos do Araguaia,1507151,3576,13885.76088,2022-03-10,0.0171,61,25753.0,25557.0,True,572,city,PA
São Domingos do Capim,1507201,1546,4810.35502,2022-03-10,0.0226,35,32139.0,31989.0,True,581,city,PA
São Félix do Xingu,1507300,4343,3286.7154,2022-03-10,0.0094,41,132138.0,128481.0,True,579,city,PA
São Francisco do Pará,1507409,1060,6654.11174,2022-03-10,0.034,36,15930.0,15882.0,True,567,city,PA
São Geraldo do Araguaia,1507458,2277,9216.75774,2022-03-10,0.025,57,24705.0,24847.0,True,604,city,PA
São João da Ponta,1507466,90,1447.64356,2022-03-10,0.1111,10,6217.0,6139.0,True,580,city,PA
São João de Pirabas,1507474,345,1484.254,2022-03-10,0.1304,45,23244.0,23045.0,True,584,city,PA
São João do Araguaia,1507508,88,626.28994,2022-03-10,0.1364,12,14051.0,13996.0,True,585,city,PA
São Miguel do Guamá,1507607,5434,9112.55702,2022-03-10,0.0125,68,59632.0,58986.0,True,596,city,PA
São Sebastião da Boa Vista,1507706,998,3699.85912,2022-03-10,0.0261,26,26974.0,26640.0,True,586,city,PA
Sapucaia,1507755,408,6789.81528,2022-03-10,0.0123,5,6009.0,5930.0,True,565,city,PA
Senador José Porfírio,1507805,896,7804.87805,2022-03-10,0.0223,20,11480.0,11658.0,True,574,city,PA
Soure,1507904,769,3008.01878,2022-03-10,0.0325,25,25565.0,25374.0,True,569,city,PA
Tailândia,1507953,8088,7422.29441,2022-03-10,0.0161,130,108969.0,106339.0,True,586,city,PA
Terra Alta,1507961,858,7242.33983,2022-03-10,0.0268,23,11847.0,11720.0,True,587,city,PA
Terra Santa,1507979,1881,9943.43712,2022-03-10,0.0319,60,18917.0,18769.0,True,575,city,PA
Tomé-Açu,1508001,4527,7070.12338,2022-03-10,0.021,95,64030.0,63447.0,True,583,city,PA
Tracuateua,1508035,754,2412.25965,2022-03-10,0.0345,26,31257.0,30959.0,True,586,city,PA
Trairão,1508050,1775,9260.22538,2022-03-10,0.0163,29,19168.0,18989.0,True,565,city,PA
Tucumã,1508084,5457,13596.27267,2022-03-10,0.0156,85,40136.0,39602.0,True,593,city,PA
Tucuruí,1508100,9940,8632.66866,2022-03-10,0.0287,285,115144.0,113659.0,True,607,city,PA
Ulianópolis,1508126,2666,4387.68289,2022-03-10,0.0109,29,60761.0,59210.0,True,572,city,PA
Uruará,1508159,3379,7436.99791,2022-03-10,0.0243,82,45435.0,45476.0,True,575,city,PA
Vigia,1508209,3788,6992.54227,2022-03-10,0.024,91,54172.0,53686.0,True,592,city,PA
Viseu,1508308,1601,2592.67056,2022-03-10,0.0231,37,61751.0,61403.0,True,583,city,PA
Vitória do Xingu,1508357,3036,19870.41037,2022-03-10,0.0096,29,15279.0,15134.0,True,569,city,PA
Xinguara,1508407,5155,11433.70448,2022-03-10,0.0163,84,45086.0,44751.0,True,587,city,PA
Brasília,5300108,597871,19569.29106,2022-02-18,0.0173,10363,3055149.0,3015268.0,True,677,city,DF
Importados/Indefinidos,,73534,,2022-02-18,0.0133,980,,,True,659,city,DF
Abdon Batista,4200051,480,18838.30455,2022-02-17,0.0083,4,2548.0,2563.0,True,598,city,SC
Abelardo Luz,4200101,2091,11642.53898,2022-02-17,0.0311,65,17960.0,17904.0,True,616,city,SC
Agrolândia,4200200,2235,20294.19777,2022-02-17,0.0139,31,11013.0,10864.0,True,601,city,SC
Agronômica,4200309,1110,20148.84734,2022-02-17,0.0135,15,5509.0,5448.0,True,609,city,SC
Água Doce,4200408,1964,27460.85011,2022-02-17,0.0092,18,7152.0,7145.0,True,624,city,SC
Águas de Chapecó,4200507,1038,15932.46355,2022-02-17,0.0116,12,6515.0,6486.0,True,629,city,SC
Águas Frias,4200556,851,36151.23195,2022-02-17,0.0047,4,2354.0,2366.0,True,601,city,SC
Águas Mornas,4200606,1056,16100.01525,2022-02-17,0.0104,11,6559.0,6469.0,True,651,city,SC
Alfredo Wagner,4200705,1385,13731.90561,2022-02-17,0.0072,10,10086.0,10036.0,True,601,city,SC
Alto Bela Vista,4200754,376,19522.32606,2022-02-17,0.008,3,1926.0,1937.0,True,625,city,SC
Anchieta,4200804,942,16951.59259,2022-02-17,0.0117,11,5557.0,5638.0,True,613,city,SC
Angelina,4200903,747,15749.52562,2022-02-17,0.008,6,4743.0,4801.0,True,569,city,SC
Anita Garibaldi,4201000,1759,25283.88673,2022-02-17,0.0057,10,6957.0,7133.0,True,650,city,SC
Anitápolis,4201109,429,13289.96283,2022-02-17,0.014,6,3228.0,3232.0,True,571,city,SC
Antônio Carlos,4201208,2286,26541.27482,2022-02-17,0.0127,29,8613.0,8513.0,True,661,city,SC
Apiúna,4201257,1333,12287.97935,2022-02-17,0.0143,19,10848.0,10743.0,True,586,city,SC
Arabutã,4201273,572,13405.20272,2022-02-17,0.0175,10,4267.0,4267.0,True,641,city,SC
Araquari,4201307,6365,16104.13926,2022-02-17,0.0146,93,39524.0,38129.0,True,629,city,SC
Araranguá,4201406,14388,20892.44486,2022-02-17,0.0189,272,68867.0,68228.0,True,654,city,SC
Armazém,4201505,1573,17958.67108,2022-02-17,0.0229,36,8759.0,8674.0,True,641,city,SC
Arroio Trinta,4201604,1024,28853.19808,2022-02-17,0.0146,15,3549.0,3550.0,True,592,city,SC
Arvoredo,4201653,403,18039.39123,2022-02-17,0.0124,5,2234.0,2240.0,True,623,city,SC
